Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|
55869000,-0.23,19.35,23.7,74.05,291.3,292.3
56093875,-0.23,20.23,21.8,74.05,278.6,279.4
56318750,-0.23,21.29,19.7,74.05,264.6,265.3
56543625,-0.23,22.35,17.9,74.05,251.9,252.6
56768500,-0.23,23.23,16.6,74.05,242.2,242.8
56993375,-0.18,24.28,11.4,98.73,231.9,232.2
57218250,-0.23,25.16,14.2,74.05,223.2,223.6
57443125,-0.23,26.22,13.1,74.05,214.0,214.4
57668000,-0.18,27.27,9.1,98.73,205.7,205.9
57892875,-0.18,28.15,8.5,98.73,199.1,199.2
58117750,-0.18,29.21,8.0,98.73,191.6,191.8
58342625,-0.18,30.26,7.4,98.73,184.6,184.8
58567500,-0.18,31.14,7.0,98.73,179.2,179.3
58792375,-0.18,32.20,6.6,98.73,173.0,173.1
59017250,-0.18,33.26,6.2,98.73,167.2,167.3
59242125,-0.18,34.13,5.9,98.73,162.7,162.8
59467000,-0.18,35.19,5.5,98.73,157.5,157.6
59691875,-0.18,36.25,5.2,98.73,152.6,152.7
59916750,-0.18,37.30,4.9,98.73,148.0,148.1
60141625,-0.18,38.36,4.7,98.73,143.6,143.7
60366500,-0.18,39.24,4.5,98.73,140.1,140.2
60591375,-0.18,40.29,4.3,98.73,136.2,136.2
60816250,-0.18,41.35,4.1,98.73,132.4,132.5
61041125,-0.18,42.40,3.9,98.73,128.8,128.8
61266000,-0.12,43.46,2.5,48.10,125.4,125.4
61490875,-0.12,44.52,2.4,48.10,122.1,122.2
61715750,-0.12,45.57,2.3,48.10,119.0,119.0
61940625,-0.12,46.63,2.2,48.10,116.0,116.0
62165500,-0.12,47.68,2.1,48.10,113.1,113.1
62390375,-0.12,48.74,2.0,48.10,110.4,110.4
62615250,-0.12,49.79,1.9,48.10,107.7,107.7
62840125,-0.12,50.85,1.8,48.10,105.2,105.2
63065000,-0.12,51.91,1.8,48.10,102.7,102.7
63289875,-0.12,52.96,1.7,48.10,100.3,100.4
63514750,-0.06,54.19,0.8,96.19,97.7,97.7
63739625,-0.06,55.25,0.8,96.19,95.5,95.5
63964500,-0.06,56.30,0.8,96.19,93.4,93.4
64189375,-0.06,57.54,0.7,96.19,91.1,91.1
64414250,-0.06,58.59,0.7,96.19,89.1,89.1
64639125,-0.06,59.65,0.7,96.19,87.2,87.2
64864000,-0.00,60.88,0.0,?,85.1,85.1
65088875,-0.00,62.11,0.0,?,83.0,83.0
65313750,-0.00,63.17,0.0,?,81.3,81.3
65538625,-0.00,64.40,0.0,?,79.4,79.4
65763500,-0.00,65.63,0.0,?,77.5,77.5
65988375,-0.00,66.69,0.0,?,76.0,76.0
66213250,0.06,67.92,0.5,96.19,74.2,74.2
66438125,0.06,69.15,0.5,96.19,72.5,72.5
66663000,0.06,70.38,0.5,96.19,70.9,70.9
66887875,0.06,71.61,0.5,96.19,69.3,69.3
67112750,0.06,72.84,0.5,96.19,67.8,67.8
67337625,0.12,74.25,0.9,48.10,66.0,66.0
67562500,0.12,75.48,0.9,48.10,64.6,64.6
67787375,0.18,76.72,1.3,98.73,63.2,63.2
68012250,0.12,77.95,0.9,48.10,61.8,61.8
68237125,0.18,79.35,1.2,98.73,60.3,60.3
68462000,0.23,80.59,1.6,74.05,58.9,59.0
68686875,0.18,81.99,1.2,98.73,57.5,57.5
68911750,0.23,83.40,1.5,74.05,56.1,56.1
69136625,0.23,84.81,1.5,74.05,54.7,54.7
69361500,0.29,86.04,1.8,59.24,53.5,53.6
69586375,0.29,87.45,1.8,59.24,52.2,52.3
69811250,0.29,88.86,1.7,59.24,51.0,51.0
70036125,0.29,90.44,1.7,59.24,49.6,49.6
70261000,0.35,91.85,2.0,49.37,48.4,48.4
70485875,0.35,93.26,1.9,49.37,47.2,47.2
70710750,0.35,94.84,1.9,49.37,45.9,45.9
70935625,0.41,96.25,2.1,42.32,44.8,44.8
71160500,0.41,97.83,2.1,42.32,43.6,43.6
71385375,0.41,99.41,2.0,42.32,42.4,42.4
71610250,0.41,101.00,2.0,42.32,41.2,41.2
71835125,0.41,102.40,1.9,42.32,40.2,40.2
72060000,0.47,103.99,2.2,37.03,39.0,39.1
72284875,0.47,105.57,2.1,37.03,37.9,38.0
72509750,0.47,107.16,2.1,37.03,36.9,36.9
72734625,0.53,108.91,2.3,32.92,35.7,35.7
72959500,0.53,110.50,2.2,32.92,34.6,34.7
73184375,0.53,112.26,2.2,32.92,33.5,33.6
73409250,0.53,114.02,2.2,32.92,32.4,32.5
73634125,0.59,115.78,2.4,29.63,31.3,31.4
73859000,0.59,117.54,2.3,29.63,30.3,30.4
74083875,0.59,119.30,2.3,29.63,29.2,29.3
74308750,0.59,121.06,2.2,29.63,28.2,28.3
74533625,0.59,122.99,2.2,29.63,27.1,27.2
74758500,0.65,124.75,2.4,26.94,26.1,26.2
74983375,0.65,126.69,2.3,26.94,25.1,25.2
75208250,0.65,128.45,2.3,26.94,24.1,24.2
75433125,0.65,130.56,2.2,26.94,23.0,23.1
75658000,0.65,132.49,2.2,26.94,22.0,22.1
75882875,0.70,134.43,2.4,24.70,21.0,21.1
76107750,0.70,136.54,2.3,24.70,19.9,20.0
76332625,0.70,138.48,2.3,24.70,18.9,19.1
76557500,0.70,140.59,2.3,24.70,17.9,18.0
76782375,0.70,142.70,2.3,24.70,16.8,17.0
77007250,0.76,144.81,2.4,22.80,15.8,16.0
77232125,0.76,146.92,2.4,22.80,14.8,15.0
77457000,0.76,149.21,2.4,22.80,13.7,13.9
77681875,0.76,151.32,2.3,22.80,12.8,13.0
77906750,0.76,153.61,2.3,22.80,11.7,11.9
78131625,0.76,155.89,2.3,22.80,10.7,10.9
78356500,0.76,158.18,2.3,22.80,9.6,9.9
78581375,0.76,160.47,2.3,22.80,8.6,8.9
78806250,0.76,162.76,2.2,22.80,7.6,7.9
79031125,0.76,165.04,2.2,22.80,6.6,6.9
79256000,0.76,167.16,2.2,22.80,5.6,6.0
79480875,0.76,169.62,2.2,22.80,4.5,5.0
79705750,0.76,171.91,2.2,22.80,3.5,4.2
79930625,0.76,174.55,2.2,22.80,2.4,3.2
80155500,0.76,176.83,2.2,22.80,1.4,2.6
80380375,0.76,178.94,2.2,22.80,0.5,2.2
80605250,0.76,180.00,2.2,22.80,0.0,2.2
80830125,0.76,180.00,2.2,22.80,0.0,2.2
81055000,0.76,178.94,2.2,22.80,0.5,2.2
81279875,0.76,176.48,2.2,22.80,1.5,2.7
81504750,0.76,174.02,2.2,22.80,2.6,3.4
81729625,0.76,171.55,2.2,22.80,3.7,4.3
81954500,0.70,168.91,2.0,24.70,4.8,5.3
82179375,0.70,166.28,2.1,24.70,6.0,6.3
82404250,0.70,163.81,2.1,24.70,7.1,7.4
82629125,0.70,161.17,2.1,24.70,8.3,8.5
82854000,0.70,158.71,2.1,24.70,9.4,9.6
83078875,0.65,156.25,1.9,26.94,10.5,10.7
83303750,0.65,153.61,2.0,26.94,11.7,11.9
83528625,0.65,151.14,2.0,26.94,12.8,13.0
83753500,0.59,148.50,1.8,29.63,14.1,14.2
83978375,0.59,145.87,1.8,29.63,15.3,15.4
84203250,0.53,143.23,1.7,32.92,16.6,16.7
84428125,0.53,140.59,1.7,32.92,17.9,18.0
84653000,0.53,138.12,1.7,32.92,19.1,19.2
84877875,0.47,135.66,1.6,37.03,20.4,20.4
85102750,0.47,133.20,1.6,37.03,21.6,21.7
85327625,0.41,130.73,1.4,42.32,22.9,23.0
85552500,0.41,128.45,1.5,42.32,24.1,24.2
85777375,0.41,125.98,1.5,42.32,25.5,25.5
86002250,0.41,123.52,1.5,42.32,26.8,26.9
86227125,0.41,121.06,1.6,42.32,28.2,28.3
86452000,0.35,118.59,1.4,49.37,29.7,29.7
86676875,0.35,116.13,1.4,49.37,31.1,31.2
86901750,0.29,113.84,1.2,59.24,32.6,32.6
87126625,0.29,111.38,1.2,59.24,34.1,34.1
87351500,0.29,109.09,1.3,59.24,35.6,35.6
87576375,0.23,106.80,1.0,74.05,37.1,37.1
87801250,0.18,104.52,0.8,98.73,38.7,38.7
88026125,0.18,102.23,0.8,98.73,40.3,40.3
88251000,0.12,99.94,0.6,48.10,42.0,42.0
88475875,0.12,97.65,0.6,48.10,43.7,43.7
88700750,0.06,95.54,0.3,96.19,45.4,45.4
